Br *-Br
C *-C
C *-C-*
C *#C
C *-C=*
C *-C#*
C *=C
C *-C(-*)(-*)-*
C *-C(-*)=*
C *-C(-*)-*
C *=C=*
Cl *-Cl
F *-F
N *-N=*
N *-N
N *#N
N *-N-*
N *-N(-*)-*
N *=N
O *-O
O *=O
O *-O-*
S *-S-*
S *-S(-*)=*
[nH] *:[nH]:*
c *=c(:*):*
c *-c(:*):*
c *:c(:*):*
c *:c:*
n *:n:*
n *-n(:*):*
n *:n(:*):*
o *:o:*
s *:s:*
cc *:c:c:*
cc *-c(:*):c:*
cc *-c(:*):c(-*):*
cc *=c(:*):c:*
cc *:c:c(:*):*
cc *-c(:*):c(=*):*
cc *-c(:*):c(:*):*
cc *=c(:*):c(=*):*
cc *:c(:*):c(:*):*
cc *=c(:*):c(:*):*
CC *-C-C=*
CC *-C-C
CC *-C-C-*
CC *#C-C
CC *-C(=*)-C
CC *-C-C(-*)-*
CC *=C-C
CC *=C-C=*
CC *-C-C(-*)(-*)-*
CC *-C-C#*
CC *-C(-*)-C=*
CC *-C(-*)-C
CC *-C(-*)(-*)-C
CC *-C-C(-*)=*
CC *-C(=*)-C=*
CC *-C(=*)-C(-*)=*
CC *#C-C#*
CC *=C-C#*
CC *-C(=*)-C(-*)-*
CC *-C(-*)-C#*
CC *-C(-*)(-*)-C=*
CC *-C(-*)-C(-*)-*
CCN *-C-C-N=*
CCN *-C-C(=*)-N-*
CCN *-C(=*)-C(=*)-N=*
CCN *-C-C(=*)-N(-*)-*
CCN *-C-C(-*)-N-*
CCN *-C-C(-*)-N(-*)-*
CCN *-N-C-C(-*)-*
CCN *-C-C-N(-*)-*
CCN *-N-C(=*)-C
CCN *-C(-C)-N(-*)-*
CCN *-C-C-N-*
CCN *-N-C(-*)-C
CCN *-N-C(=*)-C(-*)=*
CCN *-N-C(-*)(-*)-C(-*)(-*)-*
CCN *-N-C(-*)(-*)-C
CCN *=N-C(=*)-C
CCN *-N-C-C
CCN *-N(-*)-C-C
CCN *-N-C(=*)-C=*
CCN *-C-C(-*)-N=*
CCN *-C(-*)-C(-*)-N(-*)-*
CCN *-N-C(=*)-C(-*)-*
CCN *-N-C(-*)-C(-*)=*
CCN *-C(=*)-C(-*)-N=*
CCN *-C(-*)-C(-*)(-*)-N(-*)-*
CCN *-N-C-C=*
CCN *-N-C(-*)-C(-*)(-*)-*
CCN *-N(-*)-C-C=*
CCN *-C(-*)(-*)-C(=*)-N=*
CCN *-C-C(-*)(-*)-N(-*)-*
CCN *-N(-*)-C(-*)(-*)-C
CCN *-C-C(-*)(-*)-N=*
CCN *-C(-C#*)-N=*
CCN *-N-C(=*)-C(-*)(-*)-*
CCN *-C(-*)-C(=*)-N(-*)-*
CCN *-N-C(-*)(-*)-C#*
CCN *-C-C(-*)(-*)-N-*
CCN *-C-C(=*)-N=*
CCN *-N(-*)-C(=*)-C
CCN *-C(-*)(-*)-C-N=*
CCN *-C(-*)-C(=*)-N
CCN *-C(-C)-N=*
CCN *-N-C(-*)-C(-*)-*
CCN *-C(-N=*)-C(-*)(-*)-*
CCN *-N-C(-*)-C#*
CCN *-N-C(-*)(-*)-C=*
CCN *-N-C-C(-*)(-*)-*
CCN *-C(-C=*)-N(-*)-*
CCN *-N(-*)-C(=*)-C(-*)(-*)-*
CCN *-C(-*)(-C)-N=*
CCN *-C(-*)-C-N(-*)-*
CCN *=N-C-C
CCN *-C(=*)-C-N=*
CCN *-N(-*)-C(=*)-C=*
CCN *-N-C(-*)-C=*
CCN *-C(=*)-C(-*)(-*)-N=*
CCN *-C(=*)-C-N(-*)-*
CCN *-C(-*)-C(=*)-N=*
CCN *-C(-C=*)-N=*
CCN *-N-C-C#*
CCN *-C-C(=*)-N
CCN *-C(=*)-C(=*)-N(-*)-*
CCN *-C(-*)-C(-*)-N=*
CCN *-C(-N(-*)-*)-C(-*)(-*)-*
CCN *-N-C(-*)(-*)-C(-*)-*
CCN *-C(-*)(-C#*)-N=*
CCN *=C-C-N=*
CCN *-C-C(-*)-N
CCN *-C(-C#*)-N(-*)-*
CCN *-C(-*)(-*)-C(=*)-N
CCN *-C(-*)(-*)-C(-*)(-*)-N=*
CCN *-N(-*)-C-C(-*)(-*)-*
CCN *-C(-N)-C#*
CCN *-C(-C)-N
CCN *-C(-*)-C-N=*
CCN *-C(=*)-C(-*)-N(-*)-*
CCN *-N-C-C(-*)=*
CCN *-C(-*)-C-N
CCN *-N(-*)-C-C#*
CCN *-C-C-N
CCN *-C-C(-*)(-*)-N
CCN *-C(-*)(-*)-C(-*)(-*)-N
CCN *-C(-*)(-C)-N
CCN *=N-C-C#*
CCN *-C(-N)-C(-*)(-*)-*
CCN *-N(-*)-C(-*)(-*)-C#*
CCN *=C(-C)-N
CCN *-C(-*)-C(-*)-N
CCN *#C-C-N
CCN *-C(-*)(-N)-C#*
CCN *-C(=*)-C-N
CCN *=C-C(=*)-N=*
CCN *-N(-*)-C(-*)(-*)-C=*
CCN *-C(-N)-C=*
CCN *-C(=*)-C(=*)-N
CCN *=C-C(=*)-N
CCN *-C(-*)(-N)-C=*
CCN *-C(-*)-C(-*)(-*)-N=*
cn *:c:n:*
cn *-c(:*):n:*
cn *-n(:*):c:*
cn *-n(:*):c(=*):*
cn *-n(:*):c(:*):*
cn *:c:n(:*):*
cn *-c(:*):n(-*):*
cn *:n:c(:*):*
cn *=c(:*):n(:*):*
cn *-c(:*):n(:*):*
cn *:c(:*):n(:*):*
cn *=c(:*):n:*
c1ccccc1 *-c1:c:c:c:c:c:1-*
c1ccccc1 *-c1:c:c:c:c:c:1
c1ccccc1 *-c1:c:c:c(-*):c:c:1
c1ccccc1 *:c1:c:c:c:c:c:1:*
c1ccccc1 *-c1:c:c:c(:*):c(:*):c:1
c1ccccc1 *-c1:c:c:c:c(-*):c:1
c1ccccc1 *-c1:c:c:c(-*):c(-*):c:1-*
c1ccccc1 *-c1:c:c:c(-*):c(-*):c:1
c1ccccc1 *-c1:c:c:c:c(:*):c:1:*
c1ccccc1 *-c1:c:c:c:c(-*):c:1-*
c1ccccc1 *-c1:c:c(-*):c(-*):c:c:1-*
c1ccccc1 *:c1:c:c:c(:*):c(:*):c:1:*
c1ccccc1 *-c1:c:c(-*):c(-*):c(-*):c:1-*
c1ccccc1 *-c1:c:c(-*):c:c(-*):c:1
c1ccccc1 *-c1:c:c(-*):c(-*):c(-*):c:1
c1ccccc1 *=c1:c:c:c:c:c:1=*
c1ccccc1 *-c1:c(-*):c(-*):c(:*):c(:*):c:1-*
c1ccccc1 *-c1:c:c:c(:*):c(:*):c:1-*
c1ccccc1 *=c1:c:c:c(=*):c(:*):c:1:*
c1ccccc1 *-c1:c:c:c(-*):c(:*):c:1:*
c1ccccc1 *-c1:c:c(:*):c(:*):c:c:1-*
c1ccccc1 *-c1:c:c(-*):c(:*):c(:*):c:1
c1ccccc1 *=c1:c(=*):c(=*):c(:*):c(:*):c:1=*
C=O *-C(-*)=O
CCC *-C-C-C
CCC *-C-C(-*)-C
CCC *-C-C(=*)-C(-*)=*
CCC *-C(-*)(-C)-C
CCC *-C-C-C(-*)=*
CCC *-C-C(-*)-C-*
CCC *-C-C-C-*
CCC *=C-C(=*)-C=*
CCC *-C(-C)-C
CCC *-C-C(-*)-C=*
CCC *-C-C-C(-*)-*
CCC *-C-C(=*)-C-*
CCC *=C(-C)-C
CCC *-C-C(-*)(-*)-C
CCC *-C(-C)-C=*
CCC *-C-C-C=*
CCC *-C-C(-*)(-*)-C-*
CCC *-C-C(-*)-C(-*)-*
CCC *-C(-*)-C(-*)-C=*
CCC *-C-C(=*)-C
CCC *-C(=*)-C-C(-*)-*
CCC *-C(-*)-C(-*)-C
CCC *-C(-*)-C-C
CCC *-C(=*)-C-C
CCC *=C-C(=*)-C
CCC *-C-C(-*)(-*)-C=*
CCC *-C(-*)-C(=*)-C
CCC *-C(-*)-C-C=*
CCC *-C(=*)-C(-*)(-*)-C
CCC *-C(-*)-C(-*)-C(-*)-*
CCC *-C-C-C(-*)(-*)-*
CCC *-C(=*)-C(=*)-C
CCC *-C(=*)-C(-*)-C
CCC *-C(-C=*)-C=*
CCC *-C(-*)-C(=*)-C#*
CCC *-C-C(=*)-C(-*)(-*)-*
CCC *-C(-*)(-*)-C-C
CCC *-C(-*)-C(-*)(-*)-C
CCC *-C-C(-*)-C(-*)(-*)-*
CCC *-C-C(=*)-C(-*)-*
CCC *-C-C(-*)-C(-*)=*
CCC *-C(=*)-C(-*)-C=*
CCC *-C(-*)(-C=*)-C=*
CCC *-C(-*)(-*)-C-C=*
CCC *-C-C(-*)(-*)-C(-*)-*
CCC *-C(=*)-C-C=*
CCC *-C(-*)(-C)-C=*
